ticket_id,customer_id,subject,description,status,created_at,updated_at,assigned_to_employee_id
1,1,Listing Issue,Cannot view property images,resolved,2024-02-01 09:00:00,2024-02-01 10:30:00,12
2,3,Payment Problem,Payment not going through,open,2024-02-01 10:15:00,2024-02-01 10:15:00,13
3,5,Account Access,Cannot login to account,closed,2024-02-01 11:30:00,2024-02-01 13:45:00,14
4,7,Property Inquiry,Questions about listing #123,pending,2024-02-01 12:45:00,2024-02-01 14:30:00,12
5,9,Technical Issue,Website error message,resolved,2024-02-01 14:00:00,2024-02-01 15:15:00,13
6,11,Subscription Issue,Cannot upgrade plan,open,2024-02-01 15:15:00,2024-02-01 15:15:00,14
7,13,Contact Request,Need to contact property owner,closed,2024-02-01 16:30:00,2024-02-01 17:45:00,12
8,15,Listing Update,Need to update property details,pending,2024-02-01 17:45:00,2024-02-01 17:45:00,13
9,17,Payment Refund,Request for refund,open,2024-02-02 09:00:00,2024-02-02 09:00:00,14
10,19,Account Deletion,Request to delete account,resolved,2024-02-02 10:15:00,2024-02-02 11:30:00,12
11,21,Property Search,Cannot find saved searches,closed,2024-02-02 11:30:00,2024-02-02 12:45:00,13
12,23,Website Bug,Error in search filters,open,2024-02-02 12:45:00,2024-02-02 12:45:00,14
13,25,Feature Request,Suggestion for improvement,pending,2024-02-02 14:00:00,2024-02-02 14:00:00,12
14,2,Login Problem,Password reset not working,resolved,2024-02-02 15:15:00,2024-02-02 16:30:00,13
15,4,Listing Removal,Request to remove property,closed,2024-02-02 16:30:00,2024-02-02 17:45:00,14
16,6,Technical Support,Mobile app not working,open,2024-02-02 17:45:00,2024-02-02 17:45:00,12
17,8,Account Verification,Need to verify account,pending,2024-02-03 09:00:00,2024-02-03 09:00:00,13
18,10,Payment Question,Billing cycle inquiry,resolved,2024-02-03 10:15:00,2024-02-03 11:30:00,14
19,12,Property Alert,Not receiving alerts,closed,2024-02-03 11:30:00,2024-02-03 12:45:00,12
20,14,Website Access,Cannot access certain pages,open,2024-02-03 12:45:00,2024-02-03 12:45:00,13
21,16,Subscription Cancel,Cancel subscription request,pending,2024-02-03 14:00:00,2024-02-03 14:00:00,14
22,18,Contact Support,General inquiry,resolved,2024-02-03 15:15:00,2024-02-03 16:30:00,12
23,20,Feature Access,Premium feature not working,closed,2024-02-03 16:30:00,2024-02-03 17:45:00,13
24,22,Account Support,Account settings issue,open,2024-02-03 17:45:00,2024-02-03 17:45:00,14
25,24,Technical Help,Browser compatibility issue,pending,2024-02-04 09:00:00,2024-02-04 09:00:00,12 
